X,NACA 0020-Re=   1e+05-Alpha= 6.00-NCrit=  9.0-XTrTop=0.369-XtrBot=0.981, , 
            1,       0.13098, , 
    0.9928006,     0.1219695, , 
    0.9798895,     0.1016541, , 
    0.9635184,    0.07548125, , 
    0.9445469,    0.04463593, , 
    0.9234998,    0.01034374, , 
    0.9007495,   -0.02639034, , 
     0.876583,   -0.06470579, , 
    0.8512328,    -0.1039494, , 
    0.8248944,    -0.1436856, , 
    0.7977362,    -0.1836755, , 
    0.7699063,    -0.2238331, , 
    0.7415373,    -0.2641754, , 
    0.7127487,    -0.3047745, , 
      0.68365,    -0.3457173, , 
    0.6543419,    -0.3870682, , 
    0.6249182,    -0.4288339, , 
    0.5954661,    -0.4709228, , 
    0.5660677,    -0.5130991, , 
    0.5368005,    -0.5549524, , 
    0.5077378,    -0.5960164, , 
    0.4789491,    -0.6366784, , 
    0.4505011,    -0.6818042, , 
    0.4224571,    -0.7504472, , 
    0.3948782,    -0.9044547, , 
    0.3678229,      -1.18428, , 
    0.3413476,      -1.20604, , 
    0.3155065,     -1.226669, , 
    0.2903524,     -1.248598, , 
    0.2659361,     -1.274031, , 
    0.2423068,     -1.305273, , 
    0.2195125,     -1.344577, , 
    0.1975998,     -1.393067, , 
    0.1766138,     -1.450952, , 
    0.1565988,     -1.517971, , 
    0.1375977,     -1.591188, , 
    0.1196525,     -1.667286, , 
    0.1028043,     -1.743714, , 
   0.08709309,     -1.818416, , 
   0.07255816,     -1.889073, , 
   0.05923792,     -1.952239, , 
   0.04717001,     -2.002249, , 
   0.03639132,     -2.029714, , 
   0.02693808,     -2.019455, , 
   0.01884581,     -1.948221, , 
   0.01214942,      -1.78376, , 
  0.006883198,     -1.491489, , 
  0.003080868,     -1.051014, , 
 0.0007755917,    -0.4960716, , 
            0,    0.07743683, , 
 0.0007755917,     0.5398776, , 
  0.003080868,     0.8459946, , 
  0.006883198,     0.9832249, , 
   0.01214942,     0.9902632, , 
   0.01884581,      0.916995, , 
   0.02693808,     0.8064987, , 
   0.03639132,      0.682819, , 
   0.04717001,      0.562856, , 
   0.05923792,     0.4508043, , 
   0.07255816,     0.3512176, , 
   0.08709309,     0.2635267, , 
    0.1028043,     0.1877764, , 
    0.1196525,     0.1229941, , 
    0.1375977,    0.06824038, , 
    0.1565988,     0.0225472, , 
    0.1766138,   -0.01500317, , 
    0.1975998,   -0.04526137, , 
    0.2195125,   -0.06900877, , 
    0.2423068,   -0.08696067, , 
    0.2659361,   -0.09977056, , 
    0.2903524,    -0.1080336, , 
    0.3155065,    -0.1122889, , 
    0.3413476,    -0.1130195, , 
    0.3678229,    -0.1106522, , 
    0.3948782,    -0.1055556, , 
    0.4224571,   -0.09803795, , 
    0.4505011,   -0.08834635, , 
    0.4789491,    -0.0766703, , 
    0.5077378,   -0.06315718, , 
    0.5368005,   -0.04795603, , 
    0.5660677,   -0.03131799, , 
    0.5954661,   -0.01378138, , 
    0.6249182,   0.003607303, , 
    0.6543419,    0.01934262, , 
      0.68365,    0.03232881, , 
    0.7127487,    0.04280783, , 
    0.7415373,    0.05059835, , 
    0.7699063,    0.05602703, , 
    0.7977362,    0.05966957, , 
    0.8248944,    0.06204506, , 
    0.8512328,    0.06354695, , 
     0.876583,    0.06446025, , 
    0.9007495,    0.06498982, , 
    0.9234998,    0.06528298, , 
    0.9445469,    0.06544735, , 
    0.9635184,      0.065564, , 
    0.9798895,    0.06570745, , 
    0.9928006,      0.109874, , 
            1,       0.13098, , 

