xflr5 v6.48

 Calculated polar for: NACA 0020

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.125 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
  0.000, 0.0000, 0.01769, 0.01067,-0.0000,0.7332,0.7332,-0.6868, 0.0000, 0.4530
  0.500, 0.0563, 0.01776, 0.01073, 0.0014,0.7044,0.7611,-0.7495, 0.0000, 0.2130
  1.000, 0.1136, 0.01798, 0.01092, 0.0027,0.6752,0.7876,-0.8166, 0.0000, 0.2147
  1.500, 0.1726, 0.01834, 0.01122, 0.0036,0.6456,0.8125,-0.8893, 0.0000, 0.2174
  2.000, 0.2333, 0.01880, 0.01160, 0.0041,0.6157,0.8357,-0.9696, 0.0000, 0.2207
  2.500, 0.2955, 0.01931, 0.01201, 0.0041,0.5858,0.8579,-1.0580, 0.0000, 0.2241
  3.500, 0.4314, 0.02047, 0.01293, 0.0014,0.5249,0.8983,-1.2650, 0.0000, 0.2346
  4.000, 0.5221, 0.02105, 0.01340,-0.0047,0.4915,0.9107,-1.4075, 0.0000, 0.2472
  4.500, 0.5971, 0.02150, 0.01371,-0.0083,0.4606,0.9290,-1.5435, 0.0000, 0.2518
  5.000, 0.6717, 0.02193, 0.01401,-0.0121,0.4302,0.9473,-1.6892, 0.0000, 0.2557
  5.500, 0.7494, 0.02237, 0.01432,-0.0168,0.3998,0.9647,-1.8519, 0.0000, 0.2598
  6.000, 0.8312, 0.02282, 0.01457,-0.0226,0.3693,0.9805,-2.0297, 0.0000, 0.2643
  6.500, 0.9158, 0.02320, 0.01486,-0.0293,0.3388,0.9945,-2.2239, 0.0000, 0.2688
  7.000, 0.9676, 0.02366, 0.01524,-0.0300,0.3143,1.0000,-2.3827, 0.0000, 0.2673
  7.500, 0.9906, 0.02414, 0.01574,-0.0252,0.2949,1.0000,-2.4983, 0.0000, 0.2610
  8.000, 1.0116, 0.02485, 0.01645,-0.0200,0.2763,1.0000,-2.6112, 0.0000, 0.2546
  8.500, 1.0318, 0.02573, 0.01724,-0.0145,0.2599,1.0000,-2.7310, 0.0000, 0.2483
  9.000, 1.0500, 0.02657, 0.01796,-0.0086,0.2443,1.0000,-2.8575, 0.0000, 0.2416
  9.500, 1.0592, 0.02753, 0.01906,-0.0012,0.2300,1.0000,-2.9655, 0.0000, 0.2338
 10.000, 1.0746, 0.02871, 0.02010, 0.0051,0.2168,1.0000,-3.0875, 0.0000, 0.2271


